date,sku,SK,promo_flag,p10,p50,p90
2025-11-30,74388,СК Столица,0,1065.826400750085,1382.878335459186,2554.9866778384776
2025-12-31,74388,СК Столица,0,0.0,251.33309164602505,399.5597293389133
2026-01-31,74388,СК Столица,0,13.655511946142456,84.47668732257203,136.60656751586484
2026-02-28,74388,СК Столица,0,169.65983486771938,331.58920574457846,1222.4563024903134
2026-03-31,74388,СК Столица,0,478.20852477299223,622.4898187174717,941.7463377167408
2026-04-30,74388,СК Столица,0,55.96332589889908,156.11344395726667,1373.911488810676
2026-05-31,74388,СК Столица,0,0.0,0.0,478.8018758986469
2026-06-30,74388,СК Столица,0,874.0936849228325,964.5473530978048,1606.98475175634
2026-07-31,74388,СК Столица,0,679.645756156349,821.3758656130068,1476.457446272947
2025-08-31,74389,СК Столица,0,624.1983165013537,724.0125754786668,3098.4073650344076
2025-09-30,74389,СК Столица,0,1098.9921346708643,1456.045022667959,1548.8065875163093
2025-10-31,74389,СК Столица,0,0.0,56.37168534975989,847.1790812181667
2025-11-30,74389,СК Столица,0,0.0,0.0,648.2958067989321
2025-12-31,74389,СК Столица,0,0.0,68.82020835465462,461.01067089057176
2026-01-31,74389,СК Столица,0,175.58743068623306,183.92042282085552,1210.4234584299954
2026-02-28,74389,СК Столица,0,511.27621443432474,584.7718590691061,2158.5581061513694
2026-03-31,74389,СК Столица,0,908.1131579354178,972.7625216011924,1878.334257696862
2026-04-30,74389,СК Столица,0,103.79780733677816,267.10731656234765,1209.695191097363
2026-05-31,74389,СК Столица,0,55.67381845844873,64.68334712776098,607.8384024653204
2026-06-30,74389,СК Столица,0,472.91886590033346,621.4647715678134,1218.073404312912
2026-07-31,74389,СК Столица,0,518.4860708098454,708.2490942476817,1253.9909700672158
2025-08-31,74394,СК Столица,0,138.4382256744682,325.20544492823785,1110.1052578351562
2025-09-30,74394,СК Столица,0,358.4729881338635,481.6893489937784,966.456487989834
2025-10-31,74394,СК Столица,0,0.0,0.0,640.5569258856704
2025-11-30,74394,СК Столица,0,0.0,0.0,243.1226027852572
2025-12-31,74394,СК Столица,0,144.83869578558156,185.31480210726463,610.9230235461117
2026-01-31,74394,СК Столица,0,337.3420315784603,339.95024281455034,1018.4672914296364
2026-02-28,74394,СК Столица,0,170.07726964509288,223.7247993666113,1534.5530308261027
2026-03-31,74394,СК Столица,0,195.97392888291327,391.6863710683233,1172.249389193494
2026-04-30,74394,СК Столица,0,236.2393641434884,293.552054948329,918.8776292451496
2026-05-31,74394,СК Столица,0,357.6630613393682,443.05132735429663,1034.1141082968502
2026-06-30,74394,СК Столица,0,96.13679950376414,274.3026098663614,930.7440901741056
2026-07-31,74394,СК Столица,0,100.48943515215228,299.9797600674435,698.1257982885737
2025-08-31,74400,СК Столица,0,880.1396010499484,932.5205078889908,3009.807429885083
2025-09-30,74400,СК Столица,0,2528.1967997389584,2985.548952222006,3421.196357051755
